seed,deal_family,win,termination_reason,nodes_visited,elapsed_ms,max_branch_depth,max_shelved_states,dead_end_branches,loop_pruned_branches,winning_line_len,detail,max_nodes_limit,max_depth_limit
1,MS,1,Win,868,4,516,2684,0,191,516,Summary,100000000,7000
2,MS,1,Win,1643722,4198,1296,3939,0,911831,764,Summary,100000000,7000
3,MS,0,MaxNodesReached,100000001,432384,1179,3553,0,62103508,0,Summary,100000000,7000
4,MS,0,MaxNodesReached,100000001,391540,1796,5868,0,61584268,0,Summary,100000000,7000
5,MS,1,Win,134782,248,1239,5314,0,52026,812,Summary,100000000,7000
6,MS,0,MaxNodesReached,100000001,280692,582,1178,0,47316263,0,Summary,100000000,7000
7,MS,1,Win,18158,81,2005,10041,0,9779,1695,Summary,100000000,7000
8,MS,1,Win,1371854,6509,2850,9384,0,955134,2061,Summary,100000000,7000
9,MS,1,Win,225621,1991,4398,19661,0,161623,3825,Summary,100000000,7000
10,MS,1,Win,15852,46,1025,5952,0,9141,1025,Summary,100000000,7000
11,MS,1,Win,37349,62,508,2499,0,17598,508,Summary,100000000,7000
12,MS,0,MaxNodesReached,100000001,267826,471,913,0,48763882,0,Summary,100000000,7000
13,MS,1,Win,97057,278,1972,12686,0,42143,1972,Summary,100000000,7000
14,MS,1,Win,6519271,21727,1257,4210,0,3954868,830,Summary,100000000,7000
15,MS,0,LoopOnLastBranch,706452,1142,315,470,0,247635,0,Summary,100000000,7000
16,MS,0,LoopOnLastBranch,3247705,5388,172,135,0,1049709,0,Summary,100000000,7000
17,MS,1,Win,11132431,41644,540,1196,0,7008689,286,Summary,100000000,7000
18,MS,0,LoopOnLastBranch,480307,675,182,168,0,164906,0,Summary,100000000,7000
19,MS,1,Win,40871918,198806,2266,8089,0,27199272,1360,Summary,100000000,7000
20,MS,1,Win,589561,1460,1113,3309,0,346971,447,Summary,100000000,7000
21,MS,0,MaxNodesReached,100000001,739012,5988,33108,0,70666975,0,Summary,100000000,7000
22,MS,1,Win,72012712,341400,2025,6797,0,48483078,551,Summary,100000000,7000
23,MS,1,Win,3863775,9882,1102,5418,0,2099979,1102,Summary,100000000,7000
24,MS,1,Win,1255151,3388,3139,15807,0,639437,2748,Summary,100000000,7000
25,MS,1,Win,9019768,23484,2906,15443,0,4601774,2906,Summary,100000000,7000
26,MS,1,Win,9047,86,2266,11989,0,5053,2266,Summary,100000000,7000
27,MS,1,Win,12425437,64153,2353,8011,0,8708389,242,Summary,100000000,7000
28,MS,1,Win,5330,67,2833,16055,0,1628,2833,Summary,100000000,7000
29,MS,1,Win,2568,59,2567,15797,0,0,2567,Summary,100000000,7000
30,MS,1,Win,29101,55,890,3183,0,14031,799,Summary,100000000,7000
31,MS,1,Win,12158,43,750,2355,0,8067,543,Summary,100000000,7000
32,MS,1,Win,299790,1774,4031,15152,0,207920,1276,Summary,100000000,7000
33,MS,1,Win,81356,290,1437,5721,0,53550,1029,Summary,100000000,7000
34,MS,1,Win,3221434,12590,1191,3296,0,2080205,468,Summary,100000000,7000
35,MS,0,MaxNodesReached,100000001,313368,3040,9601,0,57007638,0,Summary,100000000,7000
36,MS,0,MaxNodesReached,100000001,704798,4145,18325,0,70764504,0,Summary,100000000,7000
37,MS,0,MaxNodesReached,100000001,860715,5788,21327,0,72093364,0,Summary,100000000,7000
38,MS,1,Win,3512,31,1567,9820,0,1093,1567,Summary,100000000,7000
39,MS,1,Win,17349,43,1012,5375,0,8656,1012,Summary,100000000,7000
40,MS,1,Win,221469,512,1105,6565,0,130834,1105,Summary,100000000,7000
41,MS,1,Win,1560,14,1142,5944,0,48,1142,Summary,100000000,7000
42,MS,1,Win,1642196,3635,863,4156,0,879895,863,Summary,100000000,7000
43,MS,1,Win,408,2,407,2037,0,0,407,Summary,100000000,7000
44,MS,0,MaxNodesReached,100000001,582810,4049,17527,0,67967199,0,Summary,100000000,7000
45,MS,1,Win,13861,156,3667,14762,0,7314,2894,Summary,100000000,7000
46,MS,0,MaxNodesReached,100000001,565306,2341,8415,0,70453727,0,Summary,100000000,7000
47,MS,1,Win,4197,10,737,3672,0,1971,737,Summary,100000000,7000
48,MS,0,MaxNodesReached,100000001,395137,1849,5154,0,64583385,0,Summary,100000000,7000
49,MS,0,LoopOnLastBranch,4101,3,58,32,0,888,0,Summary,100000000,7000
50,MS,1,Win,1214573,6913,2739,11503,0,885127,722,Summary,100000000,7000
